cell_num	coverage_mean	coverage_variance	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	eff_seq_err_rate	ado_rate	wild_overdispersion	alternative_overdispersion	zygosity_rate	estimates_type	deletion_rate	insertion_rate	allelic_seq_cov	allelic_seq_cov_raw_var	gamma_shape	population_size	loh_rate
40	20	10	0001	sciphi	candidate_snvs	NA	NA	exc_cnv	0.0024097456486019	0.1390059999999999	38.9837409	2.29362	0.0035764	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	0001	sciphi	candidate_snvs	NA	NA	inc_cnv	0.0022966716044196	0.1418129999999999	33.4655594	2.05811	0.00449438	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	0002	sciphi	candidate_snvs	NA	NA	exc_cnv	0.0022608913733283	0.140136	47.975768	2.26371	0.00706249	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	0002	sciphi	candidate_snvs	NA	NA	inc_cnv	0.0021130217811627	0.1456079999999999	40.8834877	2.02978	0.00335952	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	0003	sciphi	candidate_snvs	NA	NA	exc_cnv	0.0022918643748457	0.131386	43.5772732	2.29765	0.00126148	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	0003	sciphi	candidate_snvs	NA	NA	inc_cnv	0.0020821576611512	0.1394159999999999	40.900361	2.04074	0.00210025	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	0004	sciphi	candidate_snvs	NA	NA	exc_cnv	0.0022759232531348	0.136109	47.200625	2.3874500000000003	0.00275094	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	0004	sciphi	candidate_snvs	NA	NA	inc_cnv	0.0021803284307971	0.1361679999999999	38.50796	2.03513	0.00342799	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	0005	sciphi	candidate_snvs	NA	NA	exc_cnv	0.0023941223419212	0.153628	39.6161459	2.4373	0.00420339	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	0005	sciphi	candidate_snvs	NA	NA	inc_cnv	0.0021834728128756	0.1494569999999999	37.0331609	2.08197	0.00666979	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	0006	sciphi	candidate_snvs	NA	NA	exc_cnv	0.0023251587448027	0.134804	43.24866	2.38018	0.00290484	NA	NA	NA	NA	NA	NA	NA	NA
