cell_num	coverage_mean	coverage_variance	eff_seq_err_rate	ado_rate	deletion_rate	insertion_rate	dataset	tool	snv_type	tool_setup	max_clades	RF_distance	normalized_RF_distance	weighted_RF_distance	normalized_weighted_RF_distance	rooted_branch_score_difference	num_candidate_mutated_sites	num_background_sites
40	5	20	0.001999	0.16334	0	0	1	sieve	candidate_snvs	none_univ-fels_fixed_2	76	12	0.157894736842105	0.49350386885986003	0.99959861648223	0.142883585312394	617	4383
40	5	20	0.001999	0.16334	0	0	2	sieve	candidate_snvs	none_univ-fels_fixed_2	76	20	0.263157894736842	0.470725494555487	0.9996811913328771	0.148211878081971	614	4386
40	5	20	0.001999	0.16334	0	0	3	sieve	candidate_snvs	none_univ-fels_fixed_2	76	8	0.10526315789473699	0.511347251374065	0.9996174741111441	0.115807653437993	608	4392
40	5	20	0.001999	0.16334	0	0	4	sieve	candidate_snvs	none_univ-fels_fixed_2	76	6	0.0789473684210526	0.302067549351769	0.999491588456083	0.0612974328947149	358	4642
40	5	20	0.001999	0.16334	0	0	5	sieve	candidate_snvs	none_univ-fels_fixed_2	76	10	0.131578947368421	0.512195428711798	0.9996647127362719	0.115177710377564	610	4390
40	5	20	0.001999	0.16334	0	0	6	sieve	candidate_snvs	none_univ-fels_fixed_2	76	10	0.131578947368421	0.374957925999053	0.9995412516890441	0.0922429899699545	467	4533
40	5	20	0.001999	0.16334	0	0	7	sieve	candidate_snvs	none_univ-fels_fixed_2	76	16	0.21052631578947398	0.42782341136179497	0.9996287459549771	0.110815025562743	535	4465
40	5	20	0.001999	0.16334	0	0	8	sieve	candidate_snvs	none_univ-fels_fixed_2	76	20	0.263157894736842	0.519217207203146	0.999665021187546	0.19713676176840697	663	4337
40	5	20	0.001999	0.16334	0	0	9	sieve	candidate_snvs	none_univ-fels_fixed_2	76	8	0.10526315789473699	0.4562746377609821	0.999603770573771	0.11121937091692802	556	4444
40	5	20	0.001999	0.16334	0	0	10	sieve	candidate_snvs	none_univ-fels_fixed_2	76	12	0.157894736842105	0.45739807810785704	0.999645125667446	0.148441939991163	613	4387
40	5	20	0.001999	0.16334	0	0	11	sieve	candidate_snvs	none_univ-fels_fixed_2	76	14	0.18421052631578896	0.410747168627747	0.999660610479071	0.10558218588786399	506	4494
40	5	20	0.001999	0.16334	0	0	12	sieve	candidate_snvs	none_univ-fels_fixed_2	76	6	0.0789473684210526	0.5978547264294239	0.9996326339658042	0.16263921660116798	738	4262
40	5	20	0.001999	0.16334	0	0	13	sieve	candidate_snvs	none_univ-fels_fixed_2	76	16	0.21052631578947398	0.5178994799634841	0.999600759154453	0.14381708930594	651	4349
40	5	20	0.001999	0.16334	0	0	14	sieve	candidate_snvs	none_univ-fels_fixed_2	76	16	0.21052631578947398	0.48310025855365396	0.999646614207402	0.124318451806696	593	4407
40	5	20	0.001999	0.16334	0	0	15	sieve	candidate_snvs	none_univ-fels_fixed_2	76	14	0.18421052631578896	0.514051666412435	0.9996625957206351	0.130497324654652	627	4373
40	5	20	0.001999	0.16334	0	0	16	sieve	candidate_snvs	none_univ-fels_fixed_2	76	4	0.0526315789473684	0.48599935345268896	0.999644168202596	0.142090944426846	594	4406
40	5	20	0.001999	0.16334	0	0	17	sieve	candidate_snvs	none_univ-fels_fixed_2	76	10	0.131578947368421	0.282624801668204	0.999522056465468	0.0670098364425728	338	4662
40	5	20	0.001999	0.16334	0	0	18	sieve	candidate_snvs	none_univ-fels_fixed_2	76	12	0.157894736842105	0.29148129327526395	0.9995280075651329	0.0596843274048961	348	4652
40	5	20	0.001999	0.16334	0	0	19	sieve	candidate_snvs	none_univ-fels_fixed_2	76	24	0.315789473684211	0.6217772624338841	0.999682678744457	0.17460738718512503	759	4241
40	5	20	0.001999	0.16334	0	0	20	sieve	candidate_snvs	none_univ-fels_fixed_2	76	10	0.131578947368421	0.520143635824966	0.999628039092554	0.130678001285609	640	4360
