cell_num	coverage_mean	coverage_variance	eff_seq_err_rate	ado_rate	deletion_rate	insertion_rate	dataset	tool	snv_type	tool_setup	max_clades	RF_distance	normalized_RF_distance	weighted_RF_distance	normalized_weighted_RF_distance	rooted_branch_score_difference	num_candidate_mutated_sites	num_background_sites
100	5	20	0.001999	0.16334	0	0	1	sieve	candidate_snvs	none_univ-fels_fixed_2	196	72	0.36734693877551006	0.0224738638252319	0.9999899781693481	0.00511589667720242	817	129183
100	5	20	0.001999	0.16334	0	0	2	sieve	candidate_snvs	none_univ-fels_fixed_2	196	70	0.3571428571428571	0.0211804757915122	0.9999898657354592	0.00394324866679736	730	129270
100	5	20	0.001999	0.16334	0	0	3	sieve	candidate_snvs	none_univ-fels_fixed_2	196	54	0.27551020408163296	0.0194990085093261	0.9999884400146372	0.00363401417829058	663	129337
100	5	20	0.001999	0.16334	0	0	4	sieve	candidate_snvs	none_univ-fels_fixed_2	196	86	0.43877551020408206	0.0253757032726583	0.999990721527126	0.005040215212309971	895	129105
100	5	20	0.001999	0.16334	0	0	5	sieve	candidate_snvs	none_univ-fels_fixed_2	196	60	0.306122448979592	0.0291712131099254	0.9999899427519201	0.00664076485422495	1088	128912
100	5	20	0.001999	0.16334	0	0	6	sieve	candidate_snvs	none_univ-fels_fixed_2	196	58	0.29591836734693894	0.0229768980793673	0.99998928543412	0.00384803973783115	802	129198
100	5	20	0.001999	0.16334	0	0	7	sieve	candidate_snvs	none_univ-fels_fixed_2	196	68	0.34693877551020397	0.0262623973845035	0.999989518938978	0.0061154219087551105	937	129063
100	5	20	0.001999	0.16334	0	0	8	sieve	candidate_snvs	none_univ-fels_fixed_2	196	42	0.214285714285714	0.0262673294278579	0.999989775192808	0.00551083545499901	943	129057
100	5	20	0.001999	0.16334	0	0	9	sieve	candidate_snvs	none_univ-fels_fixed_2	196	70	0.3571428571428571	0.0254516690630072	0.9999909707486979	0.00558623000398294	905	129095
100	5	20	0.001999	0.16334	0	0	10	sieve	candidate_snvs	none_univ-fels_fixed_2	196	60	0.306122448979592	0.0196311256877073	0.999989218548152	0.0037817746764986205	682	129318
100	5	20	0.001999	0.16334	0	0	11	sieve	candidate_snvs	none_univ-fels_fixed_2	196	52	0.26530612244898005	0.0247156383530803	0.999989570881486	0.0048233546204301	887	129113
100	5	20	0.001999	0.16334	0	0	12	sieve	candidate_snvs	none_univ-fels_fixed_2	196	56	0.28571428571428603	0.0219163418591692	0.9999893126832092	0.0051075354744499896	774	129226
100	5	20	0.001999	0.16334	0	0	13	sieve	candidate_snvs	none_univ-fels_fixed_2	196	54	0.27551020408163296	0.0235280830773772	0.9999895336667819	0.00485394759338083	840	129160
100	5	20	0.001999	0.16334	0	0	14	sieve	candidate_snvs	none_univ-fels_fixed_2	196	60	0.306122448979592	0.0284497308644095	0.9999910120596189	0.00601233829703804	1034	128966
100	5	20	0.001999	0.16334	0	0	15	sieve	candidate_snvs	none_univ-fels_fixed_2	196	52	0.26530612244898005	0.0253308579109626	0.999990477280025	0.00505689346580186	916	129084
100	5	20	0.001999	0.16334	0	0	16	sieve	candidate_snvs	none_univ-fels_fixed_2	196	60	0.306122448979592	0.0243990127994132	0.9999898281491759	0.00427672234250848	871	129129
100	5	20	0.001999	0.16334	0	0	17	sieve	candidate_snvs	none_univ-fels_fixed_2	196	68	0.34693877551020397	0.0248419850711928	0.999989637408912	0.00552853156394779	891	129109
100	5	20	0.001999	0.16334	0	0	18	sieve	candidate_snvs	none_univ-fels_fixed_2	196	70	0.3571428571428571	0.0236786412522129	0.999989738261659	0.00460079115280841	831	129169
100	5	20	0.001999	0.16334	0	0	19	sieve	candidate_snvs	none_univ-fels_fixed_2	196	56	0.28571428571428603	0.0267899150816539	0.9999904286099741	0.0057197625321344	974	129026
100	5	20	0.001999	0.16334	0	0	20	sieve	candidate_snvs	none_univ-fels_fixed_2	196	56	0.28571428571428603	0.0273116215243376	0.9999903446931221	0.0071586404089631905	989	129011
