cell_num	coverage_mean	coverage_variance	eff_seq_err_rate	ado_rate	deletion_rate	insertion_rate	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	num_variant_sites	num_background_sites
40	20	10	0.001999	0.16334	0.0	0.0	0001	sciphi	candidate_snvs	NA	NA	exc_cnv	353	6726.0
40	20	10	0.001999	0.16334	0.0	0.0	0001	sciphi	candidate_snvs	NA	NA	inc_cnv	953	19077.0
40	20	10	0.001999	0.16334	0.0	0.0	0002	sciphi	candidate_snvs	NA	NA	exc_cnv	263	6860.0
40	20	10	0.001999	0.16334	0.0	0.0	0002	sciphi	candidate_snvs	NA	NA	inc_cnv	761	19258.0
40	20	10	0.001999	0.16334	0.0	0.0	0003	sciphi	candidate_snvs	NA	NA	exc_cnv	301	6887.0
40	20	10	0.001999	0.16334	0.0	0.0	0003	sciphi	candidate_snvs	NA	NA	inc_cnv	825	19198.0
40	20	10	0.001999	0.16334	0.0	0.0	0004	sciphi	candidate_snvs	NA	NA	exc_cnv	335	6762.0
40	20	10	0.001999	0.16334	0.0	0.0	0004	sciphi	candidate_snvs	NA	NA	inc_cnv	897	19124.0
40	20	10	0.001999	0.16334	0.0	0.0	0005	sciphi	candidate_snvs	NA	NA	exc_cnv	315	6766.0
40	20	10	0.001999	0.16334	0.0	0.0	0005	sciphi	candidate_snvs	NA	NA	inc_cnv	857	19174.0
40	20	10	0.001999	0.16334	0.0	0.0	0006	sciphi	candidate_snvs	NA	NA	exc_cnv	348	6725.0
40	20	10	0.001999	0.16334	0.0	0.0	0006	sciphi	candidate_snvs	NA	NA	inc_cnv	937	19100.0
40	20	10	0.001999	0.16334	0.0	0.0	0007	sciphi	candidate_snvs	NA	NA	exc_cnv	291	6819.0
40	20	10	0.001999	0.16334	0.0	0.0	0007	sciphi	candidate_snvs	NA	NA	inc_cnv	833	19193.0
40	20	10	0.001999	0.16334	0.0	0.0	0008	sciphi	candidate_snvs	NA	NA	exc_cnv	348	6746.0
40	20	10	0.001999	0.16334	0.0	0.0	0008	sciphi	candidate_snvs	NA	NA	inc_cnv	915	19110.0
40	20	10	0.001999	0.16334	0.0	0.0	0009	sciphi	candidate_snvs	NA	NA	exc_cnv	332	6781.0
40	20	10	0.001999	0.16334	0.0	0.0	0009	sciphi	candidate_snvs	NA	NA	inc_cnv	860	19156.0
40	20	10	0.001999	0.16334	0.0	0.0	0010	sciphi	candidate_snvs	NA	NA	exc_cnv	342	6770.0
40	20	10	0.001999	0.16334	0.0	0.0	0010	sciphi	candidate_snvs	NA	NA	inc_cnv	956	19073.0
40	20	10	0.001999	0.16334	0.0	0.0	0011	sciphi	candidate_snvs	NA	NA	exc_cnv	385	6734.0
40	20	10	0.001999	0.16334	0.0	0.0	0011	sciphi	candidate_snvs	NA	NA	inc_cnv	1087	18942.0
40	20	10	0.001999	0.16334	0.0	0.0	0012	sciphi	candidate_snvs	NA	NA	exc_cnv	367	6738.0
40	20	10	0.001999	0.16334	0.0	0.0	0012	sciphi	candidate_snvs	NA	NA	inc_cnv	1025	19002.0
40	20	10	0.001999	0.16334	0.0	0.0	0013	sciphi	candidate_snvs	NA	NA	exc_cnv	258	6819.0
40	20	10	0.001999	0.16334	0.0	0.0	0013	sciphi	candidate_snvs	NA	NA	inc_cnv	737	19279.0
40	20	10	0.001999	0.16334	0.0	0.0	0014	sciphi	candidate_snvs	NA	NA	exc_cnv	363	6717.0
40	20	10	0.001999	0.16334	0.0	0.0	0014	sciphi	candidate_snvs	NA	NA	inc_cnv	903	19128.0
40	20	10	0.001999	0.16334	0.0	0.0	0015	sciphi	candidate_snvs	NA	NA	exc_cnv	368	6676.0
40	20	10	0.001999	0.16334	0.0	0.0	0015	sciphi	candidate_snvs	NA	NA	inc_cnv	998	19034.0
40	20	10	0.001999	0.16334	0.0	0.0	0016	sciphi	candidate_snvs	NA	NA	exc_cnv	263	6805.0
40	20	10	0.001999	0.16334	0.0	0.0	0016	sciphi	candidate_snvs	NA	NA	inc_cnv	714	19307.0
40	20	10	0.001999	0.16334	0.0	0.0	0017	sciphi	candidate_snvs	NA	NA	exc_cnv	389	6707.0
40	20	10	0.001999	0.16334	0.0	0.0	0017	sciphi	candidate_snvs	NA	NA	inc_cnv	988	19046.0
40	20	10	0.001999	0.16334	0.0	0.0	0018	sciphi	candidate_snvs	NA	NA	exc_cnv	308	6802.0
40	20	10	0.001999	0.16334	0.0	0.0	0018	sciphi	candidate_snvs	NA	NA	inc_cnv	850	19170.0
40	20	10	0.001999	0.16334	0.0	0.0	0019	sciphi	candidate_snvs	NA	NA	exc_cnv	314	6719.0
40	20	10	0.001999	0.16334	0.0	0.0	0019	sciphi	candidate_snvs	NA	NA	inc_cnv	871	19156.0
40	20	10	0.001999	0.16334	0.0	0.0	0020	sciphi	candidate_snvs	NA	NA	exc_cnv	270	6828.0
40	20	10	0.001999	0.16334	0.0	0.0	0020	sciphi	candidate_snvs	NA	NA	inc_cnv	766	19252.0
40	20	10	0.001999	0.16334	0.0	0.0	0001	sieve	candidate_snvs	none_univ	mt	exc_cnv	347	6721.0
40	20	10	0.001999	0.16334	0.0	0.0	0001	sieve	candidate_snvs	none_univ	mt	inc_cnv	935	19064.0
40	20	10	0.001999	0.16334	0.0	0.0	0002	sieve	candidate_snvs	none_univ	mt	exc_cnv	264	6853.0
