cell_num	coverage_mean	coverage_variance	dataset	tool	snv_type	tool_setup	eff_seq_err_rate	ado_rate	wild_overdispersion	alternative_overdispersion	zygosity_rate	estimates_type	deletion_rate	insertion_rate	allelic_seq_cov	allelic_seq_cov_raw_var	gamma_shape	population_size	loh_rate
40	5	20	0001	sciphi	candidate_snvs	NA	0.002647449929812131	0.08674000000000004	17.4441826	2.23373	0.0033071999999999997	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0002	sciphi	candidate_snvs	NA	0.00244185916878339	0.07971300000000002	26.6045646	2.18866	0.00229289	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0003	sciphi	candidate_snvs	NA	0.0024356782692655453	0.075704	24.4047421	2.2072700000000003	0.00123238	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0004	sciphi	candidate_snvs	NA	0.002348958687532045	0.09965100000000003	26.8166913	2.33375	0.00421223	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0005	sciphi	candidate_snvs	NA	0.002539620720858985	0.09296800000000004	22.2852962	2.1928099999999997	0.00591612	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0006	sciphi	candidate_snvs	NA	0.002632925214767985	0.09469300000000004	19.440886399999997	2.34587	0.00343849	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0007	sciphi	candidate_snvs	NA	0.002688353871164421	0.07879199999999997	17.3284851	2.1465799999999997	0.00726549	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0008	sciphi	candidate_snvs	NA	0.0024884780848201645	0.07969099999999996	23.459077399999998	2.22591	0.00382435	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0009	sciphi	candidate_snvs	NA	0.002450339003211609	0.10031900000000003	26.271875	2.35088	0.00259296	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0010	sciphi	candidate_snvs	NA	0.002426784865663853	0.10240000000000003	24.1570239	2.29413	0.00302757	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0011	sciphi	candidate_snvs	NA	0.0023171791878110475	0.09867199999999997	28.276621999999996	2.25117	0.00216207	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0012	sciphi	candidate_snvs	NA	0.0027910173861294685	0.097622	15.3626775	2.16687	0.00762087	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0013	sciphi	candidate_snvs	NA	0.0024751494451754497	0.08738900000000005	24.2301733	2.10395	0.00512848	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0014	sciphi	candidate_snvs	NA	0.002450872015087148	0.08276700000000002	26.4576443	2.13919	0.00358622	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0015	sciphi	candidate_snvs	NA	0.0024644159623076725	0.08704599999999996	26.2090901	2.16512	0.00459035	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0016	sciphi	candidate_snvs	NA	0.00248374984706768	0.09523899999999996	21.1686777	2.2846900000000003	0.00207812	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0017	sciphi	candidate_snvs	NA	0.002513599995793138	0.072299	22.5155952	2.08485	0.00786282	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0018	sciphi	candidate_snvs	NA	0.0026552744290957355	0.08568299999999995	20.3331902	2.3096300000000003	0.00237671	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0019	sciphi	candidate_snvs	NA	0.0024240040229470947	0.070403	26.8724389	2.2513799999999997	0.00487283	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0020	sciphi	candidate_snvs	NA	0.0024837829366546648	0.10152399999999996	22.4079565	2.2786	0.00277246	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	0001	sieve	candidate_snvs	none_univ	0.0022058785946050645	0.14467555968483686	51.36377080760001	2.4581155980011817	NA	median	NA	NA	5.4416737378737094	26.03637340537539	16.149968518443178	0.3947143963576057	NA
40	5	20	0002	sieve	candidate_snvs	none_univ	0.00222692848507112	0.1643613779523374	51.39822813292124	2.5900006930850106	NA	median	NA	NA	5.504983003365828	26.448911269887876	14.310677092594347	0.3475775946692178	NA
40	5	20	0003	sieve	candidate_snvs	none_univ	0.002232445665437898	0.15425716176502272	51.3926086049507	2.567248203031728	NA	median	NA	NA	5.524596274803972	26.350276528822636	16.702155630186464	0.35294948285106753	NA
40	5	20	0004	sieve	candidate_snvs	none_univ	0.002194380164108597	0.16656137602872134	51.404870336087704	2.5776395151350684	NA	median	NA	NA	5.497049709570413	26.096520057654253	18.47360049684691	0.2265881889472409	NA
40	5	20	0005	sieve	candidate_snvs	none_univ	0.002238401845929448	0.1533206929482326	51.37264328749143	2.3858086721413656	NA	median	NA	NA	5.580446658393584	26.711916875982432	16.0391629559303	0.3218798468627173	NA
40	5	20	0006	sieve	candidate_snvs	none_univ	0.0022702671986832693	0.1653415662013328	51.36460465582832	2.6634428482929637	NA	median	NA	NA	5.346448579585732	24.0707331446239	14.95887617166035	0.4169946264586156	NA
40	5	20	0007	sieve	candidate_snvs	none_univ	0.0022314288536399397	0.13614725453412674	51.349887858102036	2.3587086820955228	NA	median	NA	NA	5.624545836527028	27.339904786397792	16.515719202705007	0.411651811830326	NA
40	5	20	0008	sieve	candidate_snvs	none_univ	0.00223676720190505	0.15463093033142106	51.40489049249362	2.5056719764682454	NA	mean	NA	NA	5.289236225388986	23.2710007662276	14.487344403265496	0.40813455485076106	NA
40	5	20	0009	sieve	candidate_snvs	none_univ	0.0022237188011754675	0.15596255206769413	51.38386401359439	2.6017178472265634	NA	mode_gaussian	NA	NA	5.743781828610522	28.649690277204137	15.291054358273938	0.3425760310468393	NA
40	5	20	0010	sieve	candidate_snvs	none_univ	0.0021846981703827254	0.1523041469136715	51.38063631979219	2.4309703996312093	NA	median	NA	NA	5.489699306454291	25.65692085313345	16.96592614328422	0.3551444768672738	NA
40	5	20	0011	sieve	candidate_snvs	none_univ	0.0021929750718513983	0.15640731868176186	51.42530159444535	2.462602432488332	NA	mean	NA	NA	5.464828435532158	25.45596836025065	15.924683023687306	0.2714774516324349	NA
40	5	20	0012	sieve	candidate_snvs	none_univ	0.002269950291443833	0.17656235452587285	51.34827298864337	2.492323280142548	NA	median	NA	NA	5.509352266200273	24.984605928548387	16.000410781124266	0.4001656786792893	NA
40	5	20	0013	sieve	candidate_snvs	none_univ	0.002218129117202995	0.1349080575229113	51.390017559738105	2.2716673682159483	NA	median	NA	NA	5.653051257049742	26.793964168803807	15.416342322542055	0.382072451689732	NA
40	5	20	0014	sieve	candidate_snvs	none_univ	0.002231111259900585	0.15350831438284762	51.4010960004628	2.418393498794273	NA	median	NA	NA	5.6070208369984105	26.460635339511573	14.14248339659026	0.3809021631506184	NA
40	5	20	0015	sieve	candidate_snvs	none_univ	0.0022335453388241198	0.13814137959205336	51.35548939675559	2.3322983631934915	NA	mode_gaussian	NA	NA	5.781014538115394	28.390875216925007	13.07169188545836	0.4919726943527719	NA
40	5	20	0016	sieve	candidate_snvs	none_univ	0.0022026825500613906	0.14036759159651532	51.36834041669189	2.45174343480377	NA	median	NA	NA	5.733351358044152	27.843206917398657	16.024134948155133	0.4005421277403462	NA
40	5	20	0017	sieve	candidate_snvs	none_univ	0.00223156314604472	0.14579217157921825	51.37380519429822	2.3758707945109503	NA	median	NA	NA	5.3944200261517965	24.866991154471727	14.23135554569419	0.4208434424403992	NA
40	5	20	0018	sieve	candidate_snvs	none_univ	0.0022782529756222776	0.12187525424643765	51.35740112621863	2.341558111601157	NA	median	NA	NA	5.482628301718693	25.517920330343212	13.082281254832212	0.4369236988737652	NA
40	5	20	0019	sieve	candidate_snvs	none_univ	0.0022162302863305934	0.14042456971533074	51.40475865003165	2.4892364795956543	NA	median	NA	NA	5.303215990520699	23.66544291780091	13.352355094978833	0.2903827147970292	NA
40	5	20	0020	sieve	candidate_snvs	none_univ	0.002219879910019959	0.15516741913494145	51.374401610888135	2.487550409787444	NA	median	NA	NA	5.762146325001559	27.828300788900787	16.556078440730055	0.4374372616035954	NA
40	5	20	0001	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0002	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0003	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0004	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0005	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0006	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0007	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0008	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0009	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0010	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0011	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0012	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0013	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0014	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
40	5	20	0015	sieve	candidate_snvs	none_univ-fels_fixed_2	NA	NA	NA	NA	NA	median	NA	NA	NA	NA	NA	NA	NA
